month,fco2_mean,fco2_cells,fco2_sd_across_cells,fco2_halfhours,fco2_se_across_cells
2009-01,-0.08183566183365756,48,0.1808652436756311,505,0.026105649280793217
2009-02,0.011199942025595933,48,0.13911314926020796,511,0.020079253543299414
2009-03,-0.2190972232027232,48,0.33990181415420534,474,0.04906060097499315
2009-04,-0.45984909452385003,48,0.5974577751153527,573,0.08623560182307095
2009-05,-0.9515068083467781,48,1.5484410084038056,522,0.2234982082565482
2009-06,-1.4921142281064999,48,2.8036503767394856,430,0.40467207493103446
2009-07,-2.128780969030006,48,3.945953949659862,666,0.5695493937614972
2009-08,-1.7252983708338825,48,4.005317843044628,453,0.5781178337179568
2009-09,-0.6097787571496213,48,2.478399613749141,253,0.35772617103938276
2009-10,-0.15849637901146887,48,1.059799846236663,492,0.15296893162796535
2009-11,-0.3511733300410816,48,1.0384479670150695,314,0.14988705332389252
2009-12,-0.3191790070454022,48,0.1396593171544532,785,0.02015808608849072
2010-01,-0.13106869793424167,48,0.10726023048028033,445,0.015481680735282789
2010-02,-0.22264209297457874,48,0.12979563945558814,647,0.018734386844830857
2010-03,-0.35872623363043216,48,0.5750178515556184,542,0.08299667784611914
2010-04,-0.6162199519741929,48,1.0615751770606494,575,0.15322517856024764
2010-05,-0.8184567935651154,48,1.4585971326549587,345,0.2105303617943892
2010-06,-1.6499424996360428,45,2.820499448885091,328,0.4204552332138505
2010-07,-1.4334558311371464,48,3.612428196037785,433,0.5214090978526524
2010-08,-1.4549145499447311,48,3.3706112277891553,415,0.48650582492441097
2010-09,-0.852130793549871,48,2.3321823324424584,564,0.33662152435873566
2010-10,-0.26995666791490736,48,1.070981050905607,556,0.15458279950933512
2010-11,-0.13611988056301338,48,0.3913762533108957,514,0.0564902963008682
2010-12,-0.05975153742917962,48,0.15885681706277033,403,0.022929006523449397
2011-01,-0.013313535740619333,48,0.18189724157836837,541,0.02625460534753034
2011-02,-0.09618801292717699,48,0.11018642272040684,609,0.015904040204667198
2011-03,-0.371833364768507,48,0.17720579708650433,539,0.025577453662463872
2011-04,-0.6152138696869681,48,0.7201932030780684,480,0.10395093491641541
2011-05,-0.9348729591355404,48,1.5690308041096699,454,0.22647008927988324
2011-06,-2.285156206324405,48,3.3975060937879284,354,0.4903877644554636
2011-07,-2.1769930869783565,48,3.966256422650707,514,0.572479803323117
2011-08,-2.0171397071992687,48,3.6645775924626878,409,0.528936214868651
2011-09,-1.0999146936017792,48,2.8527565868222053,458,0.41175994583356956
2011-10,-0.46505997888974454,48,1.3998592367720586,458,0.20205227679448304
2011-11,-0.20093218676508676,48,0.4216741845596901,488,0.06086342599146326
2011-12,-0.25185866867315926,48,0.19337590036759797,586,0.027911407033004737
2012-01,-0.3280064732897268,48,0.20384945064923782,654,0.0294231338016237
2012-02,-0.29354486574171673,48,0.15862377749720635,572,0.022895370159471847
2012-03,-0.4797207014219577,48,0.613734948130813,301,0.08858500937860148
2012-04,-0.6594631973071013,48,0.9133815594163894,493,0.13183527230047315
2012-05,-0.9108027141737484,48,1.6865998307046954,435,0.2434397165681333
2012-06,-1.6634078647770292,48,2.92212005383656,364,0.42177169992173547
2012-07,-0.9945031079403152,48,2.4690737410936223,417,0.3563800972673598
2012-08,-0.955016270932655,48,3.1593311619458695,465,0.4560101742021552
2012-09,-0.3044303441343311,48,2.3126111064611057,486,0.33379666121155943
2012-10,-0.2911180314589666,47,1.3809282033570744,186,0.20142908064188247
2012-11,-0.3906395127961159,48,0.2892834400246446,435,0.04175446799258239
2012-12,-0.266750224800749,48,0.12952662959337427,491,0.018695558615739898
2013-01,-0.18199522022922268,48,0.07584193114315457,539,0.010946839840340339
2013-02,-0.21348401396271552,48,0.13936039567881464,473,0.0201149404898841
2013-03,-0.19259704801714658,48,0.15105867942057125,533,0.021803442306724048
2013-04,-0.11027128462260267,48,0.1642730308788066,586,0.023710769649618674
2013-05,-0.6183280364493146,48,0.8298705467404996,402,0.11978149588829236
2013-06,-1.8743521388207538,47,3.733288882175359,299,0.5445561510576931
2013-07,-2.3274102803441834,48,3.8645140827647237,481,0.5577945614928282
2013-08,-1.4957553788975266,47,4.031890312512402,405,0.5881116461550651
2013-09,-0.8729548029017856,48,3.401063124278195,203,0.49090117758323143
2013-10,-0.549610230725987,48,1.41726510807373,392,0.204564597914858
2013-11,-0.18199465975078163,48,0.600780768859275,379,0.0867152346562132
2013-12,-0.3300164853587963,48,0.17553187931851472,262,0.025335844443976345
2014-01,-0.2205127684844346,48,0.1434486378765305,627,0.020705027423225008
2014-02,-0.18203698552476513,48,0.14584853854404556,589,0.021051423247329556
2014-03,-0.14459745399305554,48,0.17637437606015663,214,0.02545744837412093
2014-04,-0.9542662447285354,48,0.8411361164448371,288,0.12140754081363578
2014-05,-0.9670759734081891,48,1.2792972521991357,365,0.1846506532326799
2014-06,-2.167361030522487,48,3.2105706158105214,235,0.4634059523226268
2014-07,-2.5473065212326387,48,3.9195832307943523,553,0.5657431083525656
2014-08,-1.2608568043627584,48,3.7566645458580816,463,0.5422278217015717
2014-09,-1.1031968063449369,48,2.7232781300577016,421,0.39307134036675867
2014-10,-0.41289199902476,48,1.3603712103470176,560,0.1963526711229169
2014-11,-0.3378808084904101,48,0.44479725358407163,339,0.0642009535228925
2014-12,-0.3176719443452381,48,0.22544778754503395,281,0.03254058520683273
2015-01,-0.6013752118055555,48,0.2920515871129874,110,0.04215401560923518
2015-02,-0.6199505983813487,48,0.20338874599269047,601,0.029356636812255067
2015-03,-0.40704960821377306,48,0.3188478953240603,579,0.04602172954897296
2015-04,-0.6166704869032074,48,0.5838158593078984,678,0.08426656088214696
2015-05,-0.6342355885051938,48,0.9021064258930118,456,0.13020784695675539
2015-06,-0.8818818890815007,48,2.020663766133942,446,0.2916576923297886
2015-07,-1.136474650032359,48,2.597588689539794,590,0.37492963228743187
2015-08,-1.2211042920623443,48,2.439694945498862,428,0.3521396333810844
2015-09,-0.5576488081893868,48,2.162862881395161,416,0.31218236669843646
2015-10,-0.38168899859835664,48,1.1406314246982323,509,0.1646359650239177
2015-11,-0.22766273479902618,48,0.4791020009000738,463,0.0691524172972365
2015-12,-0.3217976024822695,47,0.4192987754195283,105,0.0611610123116471
2016-01,-0.06896535520833334,48,0.23350326743438285,251,0.03370329357747453
2016-02,0.027233689777236652,48,0.1949598664991935,394,0.028140032851120718
2016-03,-0.3472184700750804,48,0.424694344547996,492,0.06129934853702429
2016-04,-0.51700802094324,48,0.7411948932689996,470,0.10698226778770821
2016-05,-0.6435365992745102,48,1.1923720065669894,453,0.1721040747414064
2016-06,-1.463420618348939,48,2.598400077976965,485,0.37504674612058636
2016-07,-1.2374194932032179,48,3.2697187413704647,526,0.4719432488761506
2016-08,-1.6186291400790251,48,2.900507572334455,503,0.41865220691846144
2016-09,-0.6788522260079829,48,2.1813179737917694,518,0.3148461298392118
2016-10,-0.33503390074692124,48,1.2769841414458154,477,0.18431678445365618
2016-11,-0.045866674463383834,48,0.674580485595276,319,0.09736730623712526
2016-12,0.08252354606967106,48,0.18716660338978064,508,0.027015172212599445
2017-01,-0.0669318519161353,48,0.13614807512545854,595,0.01965128195583322
2017-02,-0.00862358097126418,48,0.10027457334330891,706,0.014473387978158569
2017-03,-0.29530608992633783,48,0.22533583005306543,613,0.032524425534801275
2017-04,-0.29285318061122684,48,0.5930110931880459,648,0.08559377857113815
2017-05,-0.8691640653484248,48,1.5355856257827847,435,0.22164269360235267
2017-06,-1.4315393177924614,48,2.5488869391837543,538,0.3679001401179155
2017-07,-1.3716236910436208,48,2.6417137700835425,579,0.3812985390699186
2017-08,-1.283633113388049,48,2.620856979117664,544,0.3782881206002732
2017-09,-0.7444467340021905,48,2.1889044137183284,483,0.3159411381226592
2017-10,-0.40006284931078934,48,0.9915155741585271,477,0.143112945911533
2017-11,-0.13068779367675148,48,0.18105081196688924,605,0.026132433756520957
2017-12,-0.49283112841753834,48,0.15325873870993148,739,0.022120993512460364
2018-01,-0.3350201368019978,48,0.14242651466588463,657,0.02055749664552217
2018-02,-0.4316211846913061,48,0.16039482221024917,529,0.023150998444927382
2018-03,-0.37040838724502995,48,0.13041564092518373,708,0.0188238763486731
2018-04,-0.32431527323878395,48,0.24791570817628306,752,0.03578355021297843
